False Positive Rate,True Positive Rate,Threshold
0.0,0.0,inf
0.0,0.0196078431372549,0.99959296
0.0,0.0392156862745098,0.9987124
0.006711409395973154,0.0392156862745098,0.99722195
0.006711409395973154,0.0784313725490196,0.99492645
0.013422818791946308,0.0784313725490196,0.9922996
0.013422818791946308,0.11764705882352941,0.9873061
0.020134228187919462,0.11764705882352941,0.9865013
0.020134228187919462,0.21568627450980393,0.9794518
0.04697986577181208,0.21568627450980393,0.953474
0.04697986577181208,0.2549019607843137,0.952592
0.053691275167785234,0.2549019607843137,0.95211077
0.053691275167785234,0.27450980392156865,0.9474994
0.06040268456375839,0.27450980392156865,0.94163966
0.06040268456375839,0.3137254901960784,0.9301556
0.06711409395973154,0.3137254901960784,0.91986626
0.06711409395973154,0.39215686274509803,0.893178
0.0738255033557047,0.39215686274509803,0.89235425
0.0738255033557047,0.47058823529411764,0.86736876
0.08053691275167785,0.47058823529411764,0.8498191
0.08053691275167785,0.49019607843137253,0.8304153
0.087248322147651,0.49019607843137253,0.82452625
0.087248322147651,0.5294117647058824,0.80393654
0.10067114093959731,0.5294117647058824,0.77166384
0.10067114093959731,0.5686274509803921,0.7383558
0.12080536912751678,0.5686274509803921,0.7133152
0.12080536912751678,0.5882352941176471,0.6855369
0.1342281879194631,0.5882352941176471,0.6707623
0.1342281879194631,0.6078431372549019,0.64870477
0.15436241610738255,0.6078431372549019,0.6161495
0.15436241610738255,0.6470588235294118,0.59414124
0.16778523489932887,0.6470588235294118,0.55360365
0.16778523489932887,0.6862745098039216,0.520278
0.2080536912751678,0.6862745098039216,0.42983443
0.2080536912751678,0.7058823529411765,0.42897502
0.24161073825503357,0.7058823529411765,0.33821097
0.24161073825503357,0.7254901960784313,0.31361625
0.2550335570469799,0.7254901960784313,0.30807087
0.2550335570469799,0.7647058823529411,0.2992941
0.28859060402684567,0.7647058823529411,0.22565228
0.28859060402684567,0.7843137254901961,0.21042359
0.3825503355704698,0.7843137254901961,0.113696255
0.3825503355704698,0.8431372549019608,0.10144487
0.38926174496644295,0.8431372549019608,0.09004514
0.38926174496644295,0.8627450980392157,0.089909226
0.3959731543624161,0.8627450980392157,0.08605923
0.3959731543624161,0.8823529411764706,0.08154292
0.6040268456375839,0.8823529411764706,0.030709062
0.6040268456375839,0.9019607843137255,0.030334122
0.6308724832214765,0.9019607843137255,0.0247036
0.6308724832214765,0.9215686274509803,0.023993699
0.7315436241610739,0.9215686274509803,0.011757353
0.7315436241610739,0.9411764705882353,0.010736894
0.738255033557047,0.9411764705882353,0.010482877
0.738255033557047,0.9607843137254902,0.010445688
0.7651006711409396,0.9607843137254902,0.008486459
0.7651006711409396,0.9803921568627451,0.008461739
0.9060402684563759,0.9803921568627451,0.0023127485
0.9060402684563759,1.0,0.0018780231
1.0,1.0,0.00024445204
