False Positive Rate,True Positive Rate,Threshold
0.0,0.0,inf
0.0,0.0196078431372549,0.9
0.006711409395973154,0.0196078431372549,0.89
0.006711409395973154,0.09803921568627451,0.79
0.013422818791946308,0.09803921568627451,0.77
0.013422818791946308,0.13725490196078433,0.75
0.020134228187919462,0.1568627450980392,0.74
0.020134228187919462,0.19607843137254902,0.73
0.020134228187919462,0.21568627450980393,0.68
0.020134228187919462,0.29411764705882354,0.66
0.020134228187919462,0.3333333333333333,0.64
0.026845637583892617,0.35294117647058826,0.59
0.026845637583892617,0.39215686274509803,0.58
0.03355704697986577,0.39215686274509803,0.57
0.06040268456375839,0.39215686274509803,0.55
0.06040268456375839,0.4117647058823529,0.54
0.087248322147651,0.45098039215686275,0.5
0.09395973154362416,0.5098039215686274,0.49
0.10067114093959731,0.5098039215686274,0.48
0.10067114093959731,0.5882352941176471,0.46
0.10738255033557047,0.5882352941176471,0.45
0.10738255033557047,0.6078431372549019,0.44
0.10738255033557047,0.6470588235294118,0.43
0.12751677852348994,0.6862745098039216,0.42
0.12751677852348994,0.7058823529411765,0.41
0.15436241610738255,0.7058823529411765,0.4
0.15436241610738255,0.7450980392156863,0.38
0.16778523489932887,0.7450980392156863,0.37
0.18791946308724833,0.7647058823529411,0.36
0.20134228187919462,0.7647058823529411,0.35
0.22818791946308725,0.7647058823529411,0.33
0.24161073825503357,0.7843137254901961,0.32
0.2483221476510067,0.7843137254901961,0.31
0.2751677852348993,0.803921568627451,0.3
0.30201342281879195,0.803921568627451,0.29
0.3221476510067114,0.803921568627451,0.28
0.3288590604026846,0.8235294117647058,0.27
0.3422818791946309,0.8235294117647058,0.26
0.37583892617449666,0.8431372549019608,0.25
0.3959731543624161,0.8431372549019608,0.23
0.40268456375838924,0.8431372549019608,0.22
0.4161073825503356,0.8823529411764706,0.21
0.436241610738255,0.9019607843137255,0.2
0.44966442953020136,0.9019607843137255,0.19
0.48322147651006714,0.9019607843137255,0.18
0.4899328859060403,0.9215686274509803,0.17
0.5503355704697986,0.9215686274509803,0.16
0.5771812080536913,0.9215686274509803,0.15
0.5906040268456376,0.9607843137254902,0.14
0.6040268456375839,0.9607843137254902,0.12
0.6241610738255033,0.9607843137254902,0.11
0.6510067114093959,0.9607843137254902,0.1
0.697986577181208,0.9803921568627451,0.09
0.7114093959731543,0.9803921568627451,0.08
0.7583892617449665,0.9803921568627451,0.07
0.7919463087248322,0.9803921568627451,0.06
0.825503355704698,1.0,0.05
0.8590604026845637,1.0,0.04
0.912751677852349,1.0,0.03
0.9395973154362416,1.0,0.02
0.9530201342281879,1.0,0.01
1.0,1.0,0.0
